NikolaJ|prodavac|123|Nikola|Jovanovic|nikola@gmail.com|123456789|Srbija|123456789|M
MarijaM|admin|123|Marija|Milosevic|marija@gmail.com|098765432|Srbija|987654321|F
fdetgjh|korisnik|xfrrenz|Jelena|Ristic|jelena@gmail.com|753951128|Srbija|123654789|F
dgkfhjn|korisnik|hjgrfse|Uros|Markovic|uros@gmail.com|963852741|Srbija|456789123|M
hgfkdsu|korisnik|jkdzsap|Milica|Vukovic|milica@gmail.com|852036794|Srbija|789512364|F
vzdgfjn|korisnik|cvxzfrt|Ivana|Ivanovic|ivana@gmail.com|852369147|Srbija|963258147|F
gfkdsui|prodavac|mvzxjui|Marko|Petrovic|marko@gmail.com|741096325|Srbija|321659874|M
fjsdgjh|prodavac|mvznfda|Ana|Stojanovic|ana@gmail.com|852143697|Srbija|746125983|F
bvsdrfj|prodavac|mvzszdg|Milos|Djordjevic|milos@gmail.com|698745312|Srbija|951478263|M
bvzdkif|admin|mvzsdfg|Jovana|Jankovic|jovana@gmail.com|745613289|Srbija|789456123|F
vzdfmjh|admin|cvxfdrg|Nenad|Stevanovic|nenad@gmail.com|236598417|Srbija|963852741|M
FilipT|korisnik|123|Filip|Tot|filip@tot.com|||06123456789|M
"Test|Linija"|korisnik|"|||"|Test|Linija|e@e.e|||123456|
Filip|korisnik|123|F|F|f@f.f|123456789|12345|123456789|M
